season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers,imdb_rating,total_votes,desc
3,4,24,And Now His Watch Is Ended,Alex Graves,David Benioff & D. B. Weiss,2013-04-21,4870000.0,9.5,36553,Jaime mopes over his lost hand. Cersei is growing uncomfortable with the Tyrells. The Night's Watch is growing impatient with Craster. Daenerys buys the Unsullied.
3,5,25,Kissed by Fire,Alex Graves,Bryan Cogman,2013-04-28,5350000.0,8.9,27811,"Robb's army is falling apart. Jaime reveals a story, to Brienne, that he has never told anyone. Jon breaks his vows. The Hound is granted his freedom. The Lannisters hatch a new plan."
3,6,26,The Climb,Alik Sakharov,David Benioff & D. B. Weiss,2013-05-05,5500000.0,8.7,27483,Jon and the wildlings scale the Wall. The Brotherhood sells Gendry to Melisandre. Robb does what he can to win back the Freys. Tyrion tells Sansa about their engagement.
3,7,27,The Bear and the Maiden Fair,Michelle MacLaren,George R. R. Martin,2013-05-12,4840000.0,8.6,26668,Jon and the wildlings travel south of the Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.
3,8,28,Second Sons,Michelle MacLaren,David Benioff & D. B. Weiss,2013-05-19,5130000.0,8.9,27335,Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.
3,9,29,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,2013-06-02,5220000.0,9.9,101517,Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.
3,10,30,Mhysa,David Nutter,David Benioff & D. B. Weiss,2013-06-09,5390000.0,9.1,30662,Bran and company travel beyond the Wall. Sam returns to Castle Black. Jon says goodbye to Ygritte. Jaime returns to King's Landing. The Night's Watch asks for help from Stannis.
4,1,31,Two Swords,D. B. Weiss,David Benioff & D. B. Weiss,2014-04-06,6640000.0,9.0,33970,"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy."
4,2,32,The Lion and the Rose,Alex Graves,George R. R. Martin,2014-04-13,6310000.0,9.7,52667,Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.
4,3,33,Breaker of Chains,Alex Graves,David Benioff & D. B. Weiss,2014-04-20,6590000.0,8.8,29163,Tyrion is arrested for the murder of Joffrey and awaits trial. Sansa escapes King's Landing. Sam sends Gilly to Mole's Town as the Night's Watch finds itself in a tight spot. Meereen challenges Daenerys.
4,4,34,Oathkeeper,Michelle MacLaren,Bryan Cogman,2014-04-27,6950000.0,8.7,28069,Jaime entrusts a task to Brienne. Daenerys frees Meereen. Jon is given permission to lead a group of Night's Watchmen to Craster's Keep. Bran and company are taken hostage.
4,5,35,First of His Name,Michelle MacLaren,David Benioff & D. B. Weiss,2014-05-04,7160000.0,8.6,27300,Tommen is crowned King of the Seven Kingdoms. Cersei builds her case against Tyrion. Sansa and Lord Baelish arrive at the Eyrie. The Night's Watch attacks Craster's Keep.
4,6,36,The Laws of Gods and Men,Alik Sakharov,Bryan Cogman,2014-05-11,6400000.0,9.7,49940,Tyrion's trial has come. Yara and her troops storm the Dreadfort to free Theon. Daenerys meets Hizdar zo Loraq. Stannis makes a deal with the Iron Bank of Braavos.
4,7,37,Mockingbird,Alik Sakharov,David Benioff & D. B. Weiss,2014-05-18,7200000.0,9.0,30150,Tyrion tries to find a champion. Daenerys sleeps with Daario. The Hound becomes wounded. Jon's advice is ignored at Castle Black. Brienne and Podrick receive a tip on Arya's whereabouts.
4,8,38,The Mountain and the Viper,Alex Graves,David Benioff & D. B. Weiss,2014-06-01,7170000.0,9.7,52676,"Theon helps Ramsay seize Moat Cailin. The wildlings attack Mole's Town. Sansa comes up with a story to protect Lord Baelish. Daenerys finds out a secret about Jorah Mormont. Oberyn Martell faces Gregor Clegane, the Mountain."
4,9,39,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,2014-06-08,6950000.0,9.6,45281,The battle between the Night's Watch and the wildlings has come.
4,10,40,The Children,Alex Graves,David Benioff & D. B. Weiss,2014-06-15,7090000.0,9.6,44717,"Jon makes an important decision. Daenerys experiences new consequences. Brienne and Podrick have an unexpected encounter. Bran achieves a goal, while Tyrion makes an important discovery."
5,1,41,The Wars to Come,Michael Slovis,David Benioff & D. B. Weiss,2015-04-12,8000000.0,8.4,29854,"Cersei and Jaime adjust to a world without Tywin. Tyrion and Varys arrive at Pentos. In Meereen, a new enemy emerges. Jon is caught between two kings."
5,2,42,The House of Black and White,Michael Slovis,David Benioff & D. B. Weiss,2015-04-19,6810000.0,8.4,26750,Arya arrives in Braavos. Jaime takes on a secret mission. Ellaria Sand seeks revenge for Oberyn's death. Stannis makes Jon a generous offer as the Night's Watch elects a new Lord Commander. Daenerys is faced with a difficult decision.
5,3,43,High Sparrow,Mark Mylod,David Benioff & D. B. Weiss,2015-04-26,6710000.0,8.4,25968,Tommen and Margaery wed. Arya has trouble adapting to her new life. Littlefinger reveals his plans to Sansa. Jon gives his first orders as Lord Commander. Tyrion and Varys arrive in Volantis.
5,4,44,Sons of the Harpy,Mark Mylod,Dave Hill,2015-05-03,6820000.0,8.6,26628,"Jorah Mormont sets sail alongside his prisoner, Tyrion. Cersei makes a move against the Tyrells. Jaime and Bronn sneak into Dorne. Ellaria and the Sand Snakes make their plans. Melisandre tempts Jon. The Harpies attack."
5,5,45,Kill the Boy,Jeremy Podeswa,Bryan Cogman,2015-05-10,6560000.0,8.5,26854,Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.
